"By province","By economic activity","Item","UNIT","1985 Year","1986 Year","1987 Year","1988 Year","1989 Year","1990 Year","1991 Year","1992 Year","1993 Year","1994 Year","1995 Year","1996 Year","1997 Year","1998 Year","1999 Year","2000 Year","2001 Year","2002 Year","2003 Year","2004 Year","2005 Year","2006 Year","2007 Year","2008 Year","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year","2022 Year","2023 Year","2024 Year",
"Jeollanam-do","Manufacture of Other Non-metallic Mineral Products and Metal Products","At chained 2020 year prices","","449136","476396","704941","925121","1226263","1308574","1528503","1872732","2093136","1991961","2138242","2277920","2552219","2223650","2729599","2960239","3006534","2552871","3466467","3433301","4440480","4640350","4897517","4791544","4481732","5124863","5290203","5365058","5322636","5847848","5427338","5406366","5498379","5578468","5554799","5289237","5149821","4456177","4678599","4742215",
"Jeollanam-do","Manufacture of Other Non-metallic Mineral Products and Metal Products","Substantial contribution","","",".12",".94","1.02","1.39",".36",".79","1.41",".75","-.34",".46",".39",".67","-.73","1.25",".53",".1","-.94","1.81","-.06","2.02",".4",".44","-.16","-.58","1.03",".28",".13","-.07",".82","-.64","-.03",".12",".11","-.03","-.35","-.17","-1.04",".39",".1",
"Jeollanam-do","Manufacture of electrical, Precision Instruments","At current prices","","14945","20360","2284","3340","7605","13236","16771","21166","20806","30121","37926","39336","51064","51377","66692","77751","79724","101894","194611","215188","234555","363975","367320","359377","149378","247719","280458","330558","379943","398685","338097","325578","375696","418028","493125","571065","601515","751000","734682","855885",
"Jeollanam-do","Manufacture of electrical, Precision Instruments","At chained 2020 year prices","","24197","34484","4685","5788","12121","20102","22863","27327","25370","31554","36297","41229","53372","50809","73241","89571","98170","128788","259008","278405","325132","558206","485440","380381","183110","282128","314867","358628","400516","420499","343851","326454","361676","406786","502367","571065","628247","764716","746815","815437",
"Jeollanam-do","Manufacture of electrical, Precision Instruments","Substantial contribution","","",".09","-.23",".01",".05",".06",".02",".03","-.01",".03",".02",".02",".05","-.01",".07",".05",".02",".07",".27",".04",".08",".36","-.1","-.15","-.33",".14",".04",".06",".06",".03","-.1","-.02",".05",".06",".12",".08",".07",".14","-.02",".07",
"Jeollanam-do","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At current prices","","139794","170139","26807","33730","43762","62531","80466","105493","119360","156847","209499","302287","389345","352466","316411","353787","515541","603450","524213","613766","767912","826449","1219800","1729333","1591740","1955510","1950870","1878779","1640974","1770265","1840443","2244049","1996090","2052946","2256140","2111889","1711394","2068964","3421480","4800953",
"Jeollanam-do","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At chained 2020 year prices","","443351","548126","88817","104423","128038","185128","212096","254733","271991","321780","403626","573237","715811","582700","558948","631104","883945","1031985","904509","1019944","1286677","1258512","1306688","2145948","2046990","2049448","1992913","1910943","1718518","1939804","1903882","2420194","2051869","2148684","2406034","2111889","2081962","2342989","3107741","3814829",
"Jeollanam-do","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","Substantial contribution","","",".49","-1.85",".07",".1",".23",".09",".13",".05",".13",".22",".39",".3","-.25","-.05",".13",".43",".25","-.2",".16",".34","-.04",".07","1.5","-.14","0","-.08","-.12","-.28",".3","-.05",".68","-.45",".12",".31","-.35","-.04",".23",".7",".79",
"Jeollanam-do","Professional, scientific and technical activities","At current prices","","38515","47554","16585","17592","22278","61405","76573","82352","94290","121091","167233","161958","207016","209423","229038","242890","279425","242983","282841","295665","300857","384524","423986","495860","573072","589851","573111","617346","710176","751819","852963","809088","907242","1029373","1157038","1238554","1811774","1677500","1920590","1943100",
"Jeollanam-do","Professional, scientific and technical activities","At chained 2020 year prices","","284902","350648","113186","118325","129019","273322","346031","310928","386776","438420","557461","500166","600154","575967","649077","674593","742483","606281","623610","603992","620510","741843","778740","795326","862037","820189","772942","799660","910422","957799","1046977","973459","1037519","1133295","1203780","1238554","1688826","1473885","1587947","1549149",
